id,pais,region,sexo,edad,ingresos_padres,educ_padres,educ_hijo,ingresos_hijo,ocupacion_hijo
111,España,Cantabria,hombre,35,20164.9,FP,FP,23218.2,Técnico/a
112,España,Asturias,hombre,47,33960.1,Universidad,Universidad,31597.41,Técnico/a
113,España,País Vasco,hombre,31,17440.7,Secundaria,Secundaria,24452.65,Técnico/a
114,España,Madrid,mujer,51,20344.5,Universidad,Universidad,28597.62,Técnico/a
115,España,Extremadura,mujer,53,21443.96,FP,FP,26278.08,Técnico/a
116,España,Murcia,hombre,39,27842.17,Secundaria,Primaria,23854.26,Técnico/a
117,España,Madrid,no_binario,30,18660.6,FP,Universidad,31972.83,Técnico/a
118,España,Baleares,hombre,44,15979.72,Primaria,Primaria,21180.22,Técnico/a junior
119,España,Navarra,hombre,51,18003.38,Primaria,Sin estudios,16302.15,Técnico/a junior
120,España,Comunidad Valenciana,hombre,33,17831.54,Secundaria,Secundaria,15132.41,Técnico/a junior
121,España,Madrid,mujer,46,19873.41,Secundaria,FP,29802.74,Técnico/a
122,España,Navarra,mujer,44,22930.29,FP,FP,29928.46,Técnico/a
123,España,Castilla y León,hombre,36,21603.31,FP,FP,21045.53,Técnico/a junior
124,España,Aragón,hombre,43,12504.2,Sin estudios,Primaria,18439.77,Técnico/a junior
125,España,Canarias,mujer,44,15098.11,FP,Universidad,19960.24,Técnico/a junior
126,España,Castilla-La Mancha,hombre,27,19838.77,Primaria,Primaria,19546.71,Técnico/a junior
127,España,Madrid,mujer,39,16012.18,,Secundaria,22943.11,Técnico/a
128,España,Murcia,hombre,26,30815.15,FP,Universidad,31617.76,Técnico/a
129,España,Andalucía,mujer,54,22155.48,Universidad,Universidad,28454.31,Técnico/a
130,España,Cataluña,mujer,45,20831.07,FP,Universidad,33610.45,Especialista
131,España,Castilla-La Mancha,hombre,26,21560.98,Universidad,Universidad,27396.17,Técnico/a
132,España,Canarias,mujer,46,22971.04,FP,FP,22654.42,Técnico/a
133,España,Aragón,hombre,27,22316.01,FP,Secundaria,17758.98,Técnico/a junior
134,España,Castilla y León,hombre,30,20284.88,Universidad,Universidad,25676.42,Técnico/a
135,España,País Vasco,hombre,39,17964.73,Primaria,Secundaria,18382.7,Técnico/a junior
136,España,Castilla y León,mujer,51,19393.85,Secundaria,FP,21893.66,Técnico/a junior
137,España,Cataluña,mujer,34,25098.1,Secundaria,FP,27591.83,Técnico/a
138,España,Galicia,mujer,33,20466.29,Universidad,Postgrado,33568.62,Especialista
139,España,Castilla y León,no_binario,25,22284.21,Universidad,Postgrado,32197.61,Especialista
140,España,País Vasco,hombre,40,24778.01,FP,Universidad,42103.4,Especialista
141,España,País Vasco,hombre,30,25740.67,FP,Universidad,26761.46,Técnico/a
142,España,Canarias,hombre,33,15582.87,Secundaria,FP,22390.57,Técnico/a
143,España,Cataluña,hombre,51,22757.83,Secundaria,Secundaria,,Técnico/a
144,España,Cantabria,hombre,28,15018.12,FP,FP,17662.99,Técnico/a junior
145,España,Cantabria,mujer,51,15037.5,Secundaria,Secundaria,18662.68,Técnico/a junior
146,España,Andalucía,hombre,52,14576.57,Primaria,Primaria,16337.35,Técnico/a junior
147,España,Extremadura,mujer,26,22309.54,Universidad,Universidad,31982.64,Técnico/a
148,España,Cataluña,hombre,53,19951.34,Primaria,Primaria,21465.33,Técnico/a junior
149,España,Andalucía,hombre,28,16766.41,FP,FP,19465.47,Técnico/a junior
150,España,Cantabria,hombre,25,16785.67,Secundaria,FP,23069.71,Técnico/a
151,España,Navarra,mujer,43,15981.94,FP,FP,20691.12,Técnico/a junior
152,España,Canarias,mujer,50,17289.39,Secundaria,Primaria,13863.03,Servicios básicos
153,España,Asturias,mujer,49,13443.95,Secundaria,FP,19345.84,Técnico/a junior
154,España,Cataluña,mujer,34,15413.62,Primaria,Primaria,19895.92,Técnico/a junior
155,España,País Vasco,mujer,45,24158.97,Secundaria,Primaria,23307.5,Técnico/a
156,España,Canarias,hombre,39,12307.01,Sin estudios,Primaria,16940.43,Técnico/a junior
157,España,Galicia,hombre,51,26956.27,,FP,25183.26,Técnico/a
158,España,Madrid,mujer,46,21421.61,FP,FP,28256.51,Técnico/a
159,España,Canarias,mujer,43,15776.89,Primaria,Primaria,17610.05,Técnico/a junior
160,España,La Rioja,mujer,40,14355.56,Primaria,Primaria,17062.8,Técnico/a junior
161,España,Castilla y León,hombre,45,15405.36,Primaria,Sin estudios,16205.8,Técnico/a junior
162,España,Extremadura,hombre,51,18740.55,FP,Secundaria,28049.57,Técnico/a
163,España,Extremadura,hombre,48,14311.09,Secundaria,Secundaria,22325.43,Técnico/a
164,España,Comunidad Valenciana,hombre,46,17662.95,Secundaria,FP,23376.0,Técnico/a
165,España,Aragón,no_binario,28,22185.19,FP,FP,21820.61,Técnico/a junior
166,España,Madrid,hombre,26,20347.64,FP,Universidad,29306.71,Técnico/a
167,España,Castilla y León,mujer,54,25320.91,FP,FP,31857.0,Técnico/a
168,España,Baleares,hombre,49,14440.42,Primaria,Primaria,16675.89,Técnico/a junior
169,España,Andalucía,mujer,37,11494.19,Secundaria,Secundaria,16592.33,Técnico/a junior
170,España,Comunidad Valenciana,hombre,52,21146.73,FP,FP,23323.04,Técnico/a
171,España,Galicia,mujer,25,22908.07,Universidad,Universidad,29842.65,Técnico/a
172,España,Andalucía,hombre,41,21506.96,,Universidad,26219.75,Técnico/a
173,España,Cataluña,hombre,37,26732.43,FP,Secundaria,27532.15,Técnico/a
174,España,Canarias,hombre,28,17183.2,Secundaria,Primaria,16309.09,Técnico/a junior
175,España,Galicia,hombre,31,26303.12,FP,Universidad,,Especialista
176,España,Baleares,mujer,41,37479.66,FP,Universidad,38980.11,Especialista
177,España,Galicia,mujer,33,24271.77,FP,FP,29094.73,Técnico/a
178,España,Castilla-La Mancha,mujer,28,15871.23,FP,Universidad,22453.85,Técnico/a
179,España,País Vasco,mujer,43,21440.31,Secundaria,Secundaria,21257.8,Técnico/a junior
180,España,Asturias,hombre,25,18552.56,Primaria,Primaria,,Técnico/a junior
181,España,Castilla y León,mujer,34,19663.78,Secundaria,FP,17360.52,Técnico/a junior
182,España,Aragón,hombre,28,15605.9,Secundaria,FP,22840.47,Técnico/a
183,España,Navarra,hombre,33,30177.29,Universidad,FP,24575.44,Técnico/a
184,España,Murcia,hombre,37,16334.57,Primaria,Primaria,16162.78,Técnico/a junior
185,España,Canarias,mujer,38,17487.04,Primaria,Primaria,20547.93,Técnico/a junior
186,España,Galicia,hombre,34,21559.3,Universidad,Postgrado,34020.18,Especialista
187,España,Madrid,hombre,30,18125.96,FP,FP,20273.74,Técnico/a junior
188,España,Comunidad Valenciana,mujer,40,25086.6,FP,Secundaria,24375.87,Técnico/a
189,España,Comunidad Valenciana,hombre,30,20438.06,Universidad,Universidad,31124.05,Técnico/a
190,España,Canarias,hombre,41,18051.76,FP,FP,20309.14,Técnico/a junior
191,España,Aragón,mujer,34,19130.28,Secundaria,Secundaria,22406.13,Técnico/a
192,España,Navarra,hombre,42,21948.63,FP,Secundaria,17875.4,Técnico/a junior
193,España,Navarra,mujer,51,25071.3,Universidad,Universidad,31150.87,Técnico/a
194,España,Extremadura,mujer,46,14084.29,Secundaria,Secundaria,18797.38,Técnico/a junior
195,España,Castilla y León,mujer,42,13138.61,Secundaria,FP,22375.87,Técnico/a
196,España,Castilla y León,mujer,27,22654.23,FP,Universidad,30505.85,Técnico/a
197,España,La Rioja,mujer,44,20129.54,Secundaria,Secundaria,16321.1,Técnico/a junior
198,España,Navarra,mujer,51,18761.02,Primaria,Primaria,18876.15,Técnico/a junior
199,España,Murcia,hombre,45,22132.87,,Secundaria,27044.99,Técnico/a
200,España,Madrid,hombre,49,20365.43,FP,Universidad,22692.77,Técnico/a
201,España,Extremadura,hombre,52,16763.85,Secundaria,Secundaria,22927.97,Técnico/a
202,España,Aragón,mujer,39,31250.18,Universidad,FP,34796.06,Especialista
203,España,Asturias,mujer,39,25696.34,Secundaria,Primaria,16010.79,Técnico/a junior
204,España,Navarra,hombre,28,19166.89,Primaria,Primaria,16215.14,Técnico/a junior
205,España,Extremadura,mujer,53,17459.07,Secundaria,Secundaria,21668.68,Técnico/a junior
206,España,Andalucía,mujer,51,13386.95,Sin estudios,Sin estudios,12219.07,Servicios básicos
207,España,Aragón,hombre,33,14838.76,Primaria,Primaria,21585.72,Técnico/a junior
208,España,Galicia,mujer,51,23182.54,FP,FP,28830.14,Técnico/a
209,España,Andalucía,hombre,50,16371.15,Secundaria,Secundaria,14519.65,Servicios básicos
210,España,Asturias,hombre,43,15136.96,Secundaria,Secundaria,16210.93,Técnico/a junior
211,España,Comunidad Valenciana,mujer,48,18619.98,Primaria,Primaria,21035.52,Técnico/a junior
212,España,Galicia,mujer,52,18320.54,Primaria,Secundaria,22801.55,Técnico/a
213,España,Galicia,hombre,41,16993.05,Secundaria,Secundaria,27411.41,Técnico/a
214,España,Canarias,mujer,35,14099.5,Secundaria,FP,17466.56,Técnico/a junior
215,España,La Rioja,mujer,49,16745.31,Primaria,Primaria,22689.11,Técnico/a
216,España,Canarias,no_binario,33,18542.0,FP,FP,19586.47,Técnico/a junior
217,España,Castilla y León,mujer,34,23385.35,FP,FP,26977.34,Técnico/a
218,España,Madrid,hombre,42,21167.89,FP,Universidad,33982.23,Especialista
219,España,Galicia,no_binario,44,14614.89,Secundaria,Primaria,9000.0,Servicios básicos
220,España,Murcia,mujer,37,21920.39,FP,Universidad,31175.37,Técnico/a
221,España,Galicia,mujer,32,17647.03,FP,FP,27180.1,Técnico/a
222,España,Comunidad Valenciana,mujer,31,15897.4,FP,FP,25287.88,Técnico/a
223,España,Aragón,mujer,41,12218.57,Sin estudios,Primaria,22935.21,Técnico/a
224,España,Castilla y León,mujer,45,14841.47,,Secundaria,22056.78,Técnico/a
225,España,Canarias,hombre,47,14211.53,Secundaria,Secundaria,16514.97,Técnico/a junior
226,España,Canarias,mujer,39,12815.49,Secundaria,Secundaria,22103.51,Técnico/a
227,España,País Vasco,hombre,44,15645.3,FP,Secundaria,19246.35,Técnico/a junior
228,España,Castilla-La Mancha,no_binario,39,15263.76,Primaria,Primaria,17270.29,Técnico/a junior
229,España,Navarra,hombre,25,23529.11,FP,FP,28209.91,Técnico/a
230,España,Extremadura,hombre,49,26246.8,Universidad,Universidad,32046.44,Especialista
231,España,Madrid,mujer,38,15412.36,Secundaria,Secundaria,25936.79,Técnico/a
232,España,Cataluña,hombre,29,22920.82,Secundaria,Secundaria,33702.45,Especialista
233,España,Comunidad Valenciana,hombre,35,18413.83,FP,FP,18739.8,Técnico/a junior
234,España,Cataluña,mujer,40,14745.7,FP,Universidad,25566.77,Técnico/a
235,España,Baleares,mujer,26,15461.11,Secundaria,FP,24887.61,Técnico/a
236,España,La Rioja,hombre,32,22196.54,Secundaria,FP,23005.89,Técnico/a
237,España,Cantabria,mujer,35,17787.34,Primaria,Sin estudios,16738.69,Técnico/a junior
238,España,Andalucía,mujer,53,11200.87,Sin estudios,Sin estudios,17199.7,Técnico/a junior
239,España,Galicia,mujer,42,19562.49,Secundaria,Secundaria,23053.3,Técnico/a
240,España,Baleares,mujer,27,20400.48,Secundaria,Secundaria,24587.51,Técnico/a
241,España,País Vasco,hombre,54,24049.04,Secundaria,Primaria,23521.7,Técnico/a
242,España,País Vasco,hombre,50,20135.45,FP,Universidad,29409.44,Técnico/a
243,España,Navarra,hombre,25,21125.53,Secundaria,Primaria,24271.67,Técnico/a
244,España,Castilla-La Mancha,mujer,35,17162.34,FP,Secundaria,25544.91,Técnico/a
245,España,Andalucía,mujer,40,18133.36,Secundaria,Primaria,21709.86,Técnico/a junior
246,España,Navarra,mujer,42,23704.69,Universidad,Universidad,24991.08,Técnico/a
247,España,Castilla-La Mancha,mujer,54,12929.75,Primaria,Sin estudios,14227.89,Servicios básicos
248,España,País Vasco,mujer,40,24994.27,Secundaria,Secundaria,26735.94,Técnico/a
249,España,País Vasco,hombre,47,23404.01,FP,Universidad,,Técnico/a
250,España,Murcia,mujer,34,18662.34,Secundaria,Secundaria,20674.85,Técnico/a junior
251,España,Cantabria,hombre,42,22835.38,Universidad,Universidad,28590.96,Técnico/a
252,España,Castilla-La Mancha,mujer,30,17166.47,FP,FP,25886.38,Técnico/a
253,España,Murcia,mujer,43,18114.73,Secundaria,Secundaria,18407.61,Técnico/a junior
254,España,Castilla y León,mujer,28,15902.59,Primaria,Primaria,21312.11,Técnico/a junior
255,España,Baleares,hombre,51,17175.87,Secundaria,Secundaria,18745.85,Técnico/a junior
256,España,Comunidad Valenciana,hombre,37,17548.73,FP,FP,19422.12,Técnico/a junior
257,España,País Vasco,hombre,48,19326.17,Primaria,Secundaria,21852.62,Técnico/a junior
258,España,Galicia,mujer,38,17148.5,FP,Universidad,25405.09,Técnico/a
259,España,Comunidad Valenciana,mujer,27,21834.44,Universidad,Postgrado,23189.18,Técnico/a
260,España,Aragón,hombre,34,18608.23,Secundaria,Secundaria,21981.24,Técnico/a junior
261,España,Extremadura,mujer,30,14313.33,Secundaria,Secundaria,24423.7,Técnico/a
262,España,País Vasco,hombre,25,19575.08,Secundaria,Secundaria,25585.28,Técnico/a
263,España,Asturias,mujer,47,19939.31,FP,FP,22752.07,Técnico/a
264,España,Cataluña,mujer,48,18428.77,FP,Universidad,25295.9,Técnico/a
265,España,Murcia,mujer,51,24534.49,Secundaria,Secundaria,16694.94,Técnico/a junior
266,España,Madrid,mujer,38,26183.51,Secundaria,Secundaria,20885.91,Técnico/a junior
267,España,Galicia,hombre,32,25414.54,Secundaria,FP,25790.99,Técnico/a
268,España,Galicia,mujer,43,24273.49,Universidad,Universidad,36715.72,Especialista
269,España,Castilla y León,mujer,38,17060.8,Secundaria,FP,12528.89,Servicios básicos
270,España,Cantabria,mujer,34,15919.99,Primaria,Primaria,19698.36,Técnico/a junior
271,España,Madrid,mujer,41,19881.19,FP,Universidad,27656.95,Técnico/a
272,España,Madrid,hombre,33,18984.9,Secundaria,Secundaria,21834.16,Técnico/a junior
273,España,Murcia,hombre,53,25509.11,Secundaria,Secundaria,20197.15,Técnico/a junior
274,España,Navarra,hombre,30,32353.7,Postgrado,Postgrado,,Especialista
275,España,Cataluña,hombre,35,21081.59,Secundaria,FP,27392.67,Técnico/a
276,España,Cataluña,mujer,49,18960.78,Secundaria,FP,26675.59,Técnico/a
277,España,Madrid,hombre,31,16701.0,Secundaria,Secundaria,24196.49,Técnico/a
278,España,Galicia,mujer,41,22024.03,Secundaria,Secundaria,16012.46,Técnico/a junior
279,España,Galicia,mujer,52,25478.25,FP,FP,29339.94,Técnico/a
280,España,Madrid,hombre,52,18223.87,Secundaria,FP,28461.14,Técnico/a
281,España,Navarra,mujer,25,26087.4,FP,FP,28073.78,Técnico/a
282,España,Castilla y León,hombre,46,19873.69,Secundaria,Secundaria,19469.79,Técnico/a junior
283,España,Castilla-La Mancha,mujer,29,34315.06,Universidad,Universidad,36204.98,Especialista
284,España,Aragón,hombre,33,15608.92,Secundaria,FP,20745.32,Técnico/a junior
285,España,Comunidad Valenciana,hombre,42,17003.42,FP,FP,25399.53,Técnico/a
286,España,Andalucía,hombre,48,19864.53,Secundaria,Secundaria,19656.13,Técnico/a junior
287,España,Cataluña,hombre,51,16203.71,Primaria,Primaria,19824.09,Técnico/a junior
288,España,Comunidad Valenciana,hombre,45,19236.71,FP,FP,17051.17,Técnico/a junior
289,España,Cantabria,mujer,26,18974.0,Secundaria,Secundaria,21606.85,Técnico/a junior
290,España,Comunidad Valenciana,hombre,53,22780.62,FP,FP,22297.99,Técnico/a
291,España,Andalucía,mujer,50,21780.12,Secundaria,FP,26210.81,Técnico/a
292,España,Andalucía,hombre,35,28396.68,FP,FP,30511.41,Técnico/a
293,España,Madrid,hombre,51,15759.69,Primaria,Secundaria,19247.98,Técnico/a junior
294,España,Castilla y León,hombre,52,29683.02,FP,Universidad,32566.58,Especialista
295,España,Aragón,mujer,30,12289.73,Primaria,Secundaria,18141.11,Técnico/a junior
296,España,Comunidad Valenciana,mujer,50,15911.02,FP,FP,22747.38,Técnico/a
297,España,Madrid,hombre,32,23462.81,FP,Secundaria,28029.76,Técnico/a
298,España,Canarias,mujer,28,17869.97,Secundaria,Secundaria,22348.03,Técnico/a
299,España,Extremadura,mujer,42,16008.18,Secundaria,Secundaria,17874.06,Técnico/a junior
300,España,Aragón,mujer,52,18852.2,Secundaria,Primaria,24029.27,Técnico/a
301,España,Andalucía,hombre,35,15241.85,Primaria,Secundaria,21490.79,Técnico/a junior
302,España,Comunidad Valenciana,hombre,29,14469.86,Secundaria,Secundaria,23429.44,Técnico/a
303,España,Comunidad Valenciana,mujer,39,25231.55,FP,FP,27370.17,Técnico/a
304,España,Extremadura,mujer,52,16739.3,Primaria,Secundaria,20953.0,Técnico/a junior
305,España,La Rioja,mujer,42,16728.59,Secundaria,Secundaria,19117.7,Técnico/a junior
306,España,País Vasco,hombre,26,21689.3,FP,FP,25742.77,Técnico/a
307,España,Cataluña,hombre,46,15751.5,Secundaria,FP,27357.89,Técnico/a
308,España,Castilla y León,mujer,35,20576.48,FP,FP,24736.61,Técnico/a
309,España,Madrid,mujer,50,19725.78,Primaria,Primaria,20583.14,Técnico/a junior
310,España,Canarias,mujer,49,18686.29,Secundaria,Secundaria,16829.64,Técnico/a junior
311,España,Cataluña,hombre,37,16456.1,Primaria,Secundaria,27176.78,Técnico/a
312,España,Aragón,hombre,28,16739.44,FP,FP,22270.87,Técnico/a
313,España,Andalucía,mujer,46,13053.13,Sin estudios,Sin estudios,10899.29,Servicios básicos
314,España,País Vasco,mujer,31,20333.89,FP,Secundaria,23973.26,Técnico/a
315,España,Madrid,mujer,53,20314.09,Secundaria,Secundaria,22975.08,Técnico/a
316,España,Galicia,hombre,35,14954.71,Secundaria,Secundaria,17882.81,Técnico/a junior
317,España,Castilla-La Mancha,mujer,46,23469.0,Universidad,Universidad,30895.05,Técnico/a
318,España,Baleares,hombre,48,12743.37,Primaria,Primaria,17178.0,Técnico/a junior
319,España,Asturias,hombre,28,13392.69,Primaria,Secundaria,16957.46,Técnico/a junior
320,España,Canarias,mujer,52,14526.18,Primaria,Primaria,21451.52,Técnico/a junior
